Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
290,Hasmukh Chudgar & family,$7.6 B,up arrow,89.0,India,Pharmaceuticals,Healthcare,7.6
290,Andrew Currie,$7.6 B,up arrow,67.0,United Kingdom,Chemicals,Manufacturing,7.6
290,Joe Gebbia,$7.6 B,down arrow,41.0,United States,Airbnb,Technology,7.6
290,Philip Ng,$7.6 B,,64.0,Singapore,Real Estate,Real Estate,7.6
290,John Reece,$7.6 B,up arrow,66.0,United Kingdom,Chemicals,Manufacturing,7.6
290,Leonard Stern,$7.6 B,up arrow,85.0,United States,Real estate,Real Estate,7.6
290,Joseph Tsai,$7.6 B,down arrow,59.0,Canada,E-commerce,Technology,7.6
290,Zhong Huijuan,$7.6 B,down arrow,62.0,China,Pharmaceuticals,Healthcare,7.6
299,Arthur Blank,$7.5 B,up arrow,80.0,United States,Home Depot,Sports,7.5
299,Charles Butt,$7.5 B,list returnee,85.0,United States,Supermarkets,Fashion & Retail,7.5
299,Ding Shijia,$7.5 B,down arrow,59.0,China,Sports apparel,Fashion & Retail,7.5
299,"Paul Tudor Jones, II.",$7.5 B,up arrow,68.0,United States,Hedge funds,Finance & Investments,7.5
299,Henry Kravis,$7.5 B,down arrow,79.0,United States,Private equity,Finance & Investments,7.5
299,Zhang Yong,$7.5 B,up arrow,52.0,Singapore,Restaurants,Food & Beverage,7.5
305,James Goodnight,$7.4 B,up arrow,80.0,United States,Software,Technology,7.4
305,Sri Prakash Lohia,$7.4 B,up arrow,70.0,Indonesia,Petrochemicals,Manufacturing,7.4
305,Ma Jianrong,$7.4 B,down arrow,59.0,China,"Textiles, apparel",Fashion & Retail,7.4
305,Robert Ng,$7.4 B,,71.0,Singapore,Real estate,Real Estate,7.4
305,Steven Rales,$7.4 B,down arrow,72.0,United States,"Manufacturing, investments",Manufacturing,7.4
305,Nassef Sawiris,$7.4 B,down arrow,62.0,Egypt,"Construction, investments",Construction & Engineering,7.4
305,Harry Stine,$7.4 B,up arrow,81.0,United States,Agriculture,Food & Beverage,7.4
312,Benu Gopal Bangur,$7.3 B,up arrow,91.0,India,Cement,Manufacturing,7.3
312,Iskander Makhmudov,$7.3 B,up arrow,59.0,Russia,"Mining, metals, machinery",Metals & Mining,7.3
312,Anders Holch Povlsen,$7.3 B,down arrow,50.0,Denmark,Fashion retail,Fashion & Retail,7.3
312,Enrique Razon Jr.,$7.3 B,up arrow,63.0,Philippines,Ports,Logistics,7.3
312,Wang Laichun,$7.3 B,down arrow,55.0,Hong Kong,Electronics components,Technology,7.3
317,Arthur Dantchik,$7.2 B,new to list,65.0,United States,"Trading, investments",Finance & Investments,7.2
317,Terry Gou,$7.2 B,up arrow,72.0,Taiwan,Electronics,Technology,7.2
317,Jeff Greene,$7.2 B,up arrow,68.0,United States,"Real estate, investments",Real Estate,7.2
317,Don Hankey,$7.2 B,up arrow,79.0,United States,Auto loans,Finance & Investments,7.2
317,Richard Kinder,$7.2 B,down arrow,78.0,United States,Pipelines,Energy,7.2
317,Guillaume Pousaz,$7.2 B,down arrow,41.0,Switzerland,Fintech,Finance & Investments,7.2
317,Takahisa Takahara,$7.2 B,up arrow,61.0,Japan,Personal care goods,Fashion & Retail,7.2
317,Zong Qinghou,$7.2 B,down arrow,77.0,China,Beverages,Food & Beverage,7.2
325,Judy Faulkner,$7.1 B,up arrow,79.0,United States,Healthcare software,Technology,7.1
325,Johann Graf,$7.1 B,up arrow,76.0,Austria,Gambling,Gambling & Casinos,7.1
325,Tamara Gustavson,$7.1 B,down arrow,61.0,United States,Self storage,Service,7.1
325,Liang Wengen,$7.1 B,down arrow,66.0,China,Construction equipment,Manufacturing,7.1
325,Frederik Paulsen,$7.1 B,down arrow,72.0,Sweden,Health care,Healthcare,7.1
325,Wee Cho Yaw,$7.1 B,down arrow,94.0,Singapore,Banking,Finance & Investments,7.1
325,Zhang Hejun,$7.1 B,up arrow,71.0,China,Electronics,Manufacturing,7.1
332,Marc Benioff,$7 B,down arrow,58.0,United States,Business software,Technology,7.0
332,Dmitri Bukhman,$7 B,down arrow,37.0,Israel,Online games,Media & Entertainment,7.0
332,Igor Bukhman,$7 B,down arrow,41.0,Israel,Online games,Media & Entertainment,7.0
332,Jack Dangermond,$7 B,up arrow,77.0,United States,Mapping software,Technology,7.0
332,Ashwin Dani & family,$7 B,down arrow,80.0,India,Paints,Manufacturing,7.0
332,Ralph Lauren,$7 B,up arrow,83.0,United States,Apparel,Fashion & Retail,7.0
332,Law Kar Po,$7 B,up arrow,74.0,Hong Kong,Real estate,Real Estate,7.0
332,Rohiqa Cyrus Mistry,$7 B,new to list,55.0,India,Diversified,Diversified,7.0
332,Shapoor Mistry,$7 B,new to list,58.0,Ireland,Diversified,Diversified,7.0
332,J. Christopher Reyes,$7 B,down arrow,69.0,United States,Food distribution,Food & Beverage,7.0
332,Jude Reyes,$7 B,down arrow,67.0,United States,Food distribution,Food & Beverage,7.0
332,Don Vultaggio & family,$7 B,up arrow,71.0,United States,Beverages,Food & Beverage,7.0
344,Alejandro Bailleres Gual & family,$6.9 B,up arrow,62.0,Mexico,Diversified,Diversified,6.9
344,Edythe Broad & family,$6.9 B,unchanged,87.0,United States,"Homebuilding, insurance",Diversified,6.9
344,Pauline MacMillan Keinath,$6.9 B,down arrow,89.0,United States,Cargill,Food & Beverage,6.9
344,Philippe Laffont,$6.9 B,up arrow,55.0,United States,Hedge fund,Finance & Investments,6.9
344,Liu Jincheng & family,$6.9 B,down arrow,58.0,China,Lithium batteries,Manufacturing,6.9
344,Igor Olenicoff,$6.9 B,up arrow,80.0,United States,Real estate,Real Estate,6.9
344,Sandra Ortega Mera,$6.9 B,up arrow,54.0,Spain,Zara,Fashion & Retail,6.9
344,Ronda Stryker,$6.9 B,up arrow,68.0,United States,Medical equipment,Healthcare,6.9
352,Dannine Avara,$6.8 B,up arrow,59.0,United States,Pipelines,Energy,6.8
352,Silvio Berlusconi & family,$6.8 B,down arrow,86.0,Italy,Media,Diversified,6.8
352,Denise Coates,$6.8 B,up arrow,55.0,United Kingdom,Online gambling,Gambling & Casinos,6.8
352,Scott Duncan,$6.8 B,up arrow,40.0,United States,Pipelines,Energy,6.8
352,Milane Frantz,$6.8 B,up arrow,53.0,United States,Pipelines,Energy,6.8
352,"Edward Johnson, IV.",$6.8 B,up arrow,58.0,United States,Fidelity,Finance & Investments,6.8
352,Yuri Milner,$6.8 B,down arrow,61.0,Israel,Tech investments,Finance & Investments,6.8
352,Gordon Moore,$6.8 B,down arrow,94.0,United States,Intel,Technology,6.8
352,John Overdeck,$6.8 B,up arrow,53.0,United States,Hedge funds,Finance & Investments,6.8
352,David Siegel,$6.8 B,up arrow,61.0,United States,Hedge funds,Finance & Investments,6.8
352,Viktor Vekselberg,$6.8 B,up arrow,65.0,Russia,"Metals, investments",Diversified,6.8
352,Wang Laisheng,$6.8 B,down arrow,58.0,Hong Kong,Electronics components,Technology,6.8
352,Randa Duncan Williams,$6.8 B,up arrow,61.0,United States,Pipelines,Energy,6.8
365,Ken Fisher,$6.7 B,up arrow,72.0,United States,Money management,Finance & Investments,6.7
365,Christopher Hohn,$6.7 B,down arrow,56.0,United Kingdom,Hedge funds,Finance & Investments,6.7
365,Kjeld Kirk Kristiansen,$6.7 B,down arrow,75.0,Denmark,Lego,Manufacturing,6.7
365,Sofie Kirk Kristiansen,$6.7 B,down arrow,47.0,Denmark,Lego,Manufacturing,6.7
365,Thomas Kirk Kristiansen,$6.7 B,down arrow,44.0,Denmark,Lego,Manufacturing,6.7
365,Massimiliana Landini Aleotti & family,$6.7 B,up arrow,80.0,Italy,Pharmaceuticals,Healthcare,6.7
365,Li Ping,$6.7 B,down arrow,55.0,Hong Kong,Batteries,Automotive,6.7
365,Lin Jianhua,$6.7 B,,60.0,China,Solar panel components,Manufacturing,6.7
365,Magdalena Martullo-Blocher,$6.7 B,down arrow,54.0,Switzerland,Chemicals,Manufacturing,6.7
365,Xavier Niel,$6.7 B,down arrow,55.0,France,"Internet, telecom",Telecom,6.7
365,Terrence Pegula,$6.7 B,up arrow,72.0,United States,Natural gas,Energy,6.7
365,"Edward Roski, Jr.",$6.7 B,up arrow,84.0,United States,Real estate,Real Estate,6.7
365,John A. Sobrato & family,$6.7 B,up arrow,83.0,United States,Real estate,Real Estate,6.7
365,George Soros,$6.7 B,down arrow,92.0,United States,Hedge funds,Finance & Investments,6.7
365,David Sun,$6.7 B,up arrow,71.0,United States,Computer hardware,Technology,6.7
365,Agnete Kirk Thinggaard,$6.7 B,down arrow,39.0,Denmark,Lego,Manufacturing,6.7
365,John Tu,$6.7 B,up arrow,81.0,United States,Computer hardware,Technology,6.7
365,Xu Shihui,$6.7 B,down arrow,65.0,China,"Snacks, beverages",Food & Beverage,6.7
383,Rahel Blocher,$6.6 B,down arrow,47.0,Switzerland,Chemicals,Manufacturing,6.6
383,Bubba Cathy,$6.6 B,up arrow,68.0,United States,Chick-fil-A,Food & Beverage,6.6
383,Dan Cathy,$6.6 B,up arrow,70.0,United States,Chick-fil-A,Food & Beverage,6.6
383,Trudy Cathy White,$6.6 B,up arrow,67.0,United States,Chick-fil-A,Food & Beverage,6.6
383,Bruce Kovner,$6.6 B,up arrow,78.0,United States,Hedge funds,Finance & Investments,6.6
383,"Henry Nicholas, III.",$6.6 B,up arrow,63.0,United States,Semiconductors,Technology,6.6
383,Nadia Thiele,$6.6 B,up arrow,47.0,Germany,Investments,Finance & Investments,6.6
390,David Bonderman,$6.5 B,up arrow,80.0,United States,Private equity,Finance & Investments,6.5
390,Melinda French Gates,$6.5 B,up arrow,58.0,United States,Microsoft,Technology,6.5
390,Nathan Kirsh,$6.5 B,up arrow,91.0,Eswatini (Swaziland),"Retail, real estate",Fashion & Retail,6.5
390,Annette Lerner & family,$6.5 B,new to list,93.0,United States,Real estate,Real Estate,6.5
390,David Reuben,$6.5 B,down arrow,84.0,United Kingdom,"Investments, real estate",Real Estate,6.5
390,Simon Reuben,$6.5 B,down arrow,81.0,United Kingdom,"Real estate, investments",Diversified,6.5
390,Radovan Vitek,$6.5 B,up arrow,51.0,Czech Republic,Real estate,Real Estate,6.5
397,Carl Bennet,$6.4 B,down arrow,71.0,Sweden,Investments,Finance & Investments,6.4
397,Stephen Bisciotti,$6.4 B,up arrow,62.0,United States,"Staffing, Baltimore Ravens",Sports,6.4
397,Stanley Druckenmiller,$6.4 B,down arrow,69.0,United States,Hedge funds,Finance & Investments,6.4
397,Jian Jun,$6.4 B,up arrow,59.0,China,Biomedical products,Healthcare,6.4
397,Alexei Kuzmichev,$6.4 B,up arrow,60.0,Russia,"Oil, banking, telecom",Energy,6.4
397,Dmitry Rybolovlev & family,$6.4 B,down arrow,56.0,Russia,Fertilizer,Manufacturing,6.4
397,Luis Carlos Sarmiento,$6.4 B,down arrow,90.0,Colombia,Banking,Finance & Investments,6.4
397,Dennis Washington,$6.4 B,down arrow,88.0,United States,"Construction, mining",Logistics,6.4
405,Anthony Bamford & family,$6.3 B,up arrow,77.0,United Kingdom,Construction equipment,Construction & Engineering,6.3
405,Gao Jifan & family,$6.3 B,down arrow,58.0,China,Solar equipment,Energy,6.3
405,John Grayken,$6.3 B,down arrow,66.0,Ireland,Private equity,Finance & Investments,6.3
405,Alain Merieux & family,$6.3 B,down arrow,85.0,France,Pharmaceuticals,Healthcare,6.3
405,Wang Yusuo & family,$6.3 B,up arrow,59.0,China,Natural gas distribution,Energy,6.3
405,Stef Wertheimer & family,$6.3 B,up arrow,96.0,Israel,Metalworking tools,Manufacturing,6.3
411,Maria Asuncion Aramburuzabala & family,$6.2 B,unchanged,59.0,Mexico,"Beer, investments",Food & Beverage,6.2
411,Gustaf Douglas,$6.2 B,down arrow,85.0,Sweden,Investments,Diversified,6.2
411,Frits Goldschmeding,$6.2 B,up arrow,89.0,Netherlands,Temp agency,Service,6.2
411,Lin Muqin & family,$6.2 B,up arrow,59.0,China,Beverages,Food & Beverage,6.2
411,Ruan Liping,$6.2 B,up arrow,58.0,Hong Kong,Power strips,Manufacturing,6.2
411,Ruan Xueping,$6.2 B,up arrow,51.0,Hong Kong,Power strip,Manufacturing,6.2
411,Michal Solowow,$6.2 B,unchanged,60.0,Poland,Investments,Finance & Investments,6.2
418,Mike Adenuga,$6.1 B,down arrow,69.0,Nigeria,"Telecom, oil",Diversified,6.1
418,Tom Gores,$6.1 B,up arrow,58.0,United States,Private equity,Finance & Investments,6.1
418,Michael Herz,$6.1 B,up arrow,79.0,Germany,Coffee,Fashion & Retail,6.1
418,Wolfgang Herz,$6.1 B,up arrow,72.0,Germany,Coffee,Fashion & Retail,6.1
418,Michael Kadoorie,$6.1 B,down arrow,81.0,Hong Kong,"Hotels, energy",Energy,6.1
418,Sunil Mittal,$6.1 B,,65.0,India,Telecom,Telecom,6.1
418,Zhou Qunfei,$6.1 B,down arrow,53.0,Hong Kong,Smartphone screens,Technology,6.1
425,Alexander Abramov,$6 B,up arrow,64.0,Russia,"Steel, mining",Metals & Mining,6.0
425,Rene Benko,$6 B,up arrow,46.0,Austria,"Real estate, retail",Real Estate,6.0
425,Neil Bluhm,$6 B,up arrow,85.0,United States,Real estate,Real Estate,6.0
425,Alain Bouchard,$6 B,up arrow,74.0,Canada,Convinience stores,Fashion & Retail,6.0
425,Jay Chaudhry,$6 B,down arrow,63.0,United States,Security software,Technology,6.0
425,Gopikishan Damani,$6 B,down arrow,65.0,India,"Retail, investments",Fashion & Retail,6.0
425,Sumet Jiaravanon,$6 B,up arrow,88.0,Thailand,Diversified,Diversified,6.0
425,Joe Lewis,$6 B,up arrow,86.0,United Kingdom,Investments,Finance & Investments,6.0
425,Frank Lowy,$6 B,down arrow,92.0,Australia,Investments,Finance & Investments,6.0
425,Michael Milken,$6 B,up arrow,76.0,United States,Investments,Finance & Investments,6.0
425,David Steward,$6 B,up arrow,71.0,United States,IT provider,Technology,6.0
425,Les Wexner & family,$6 B,up arrow,85.0,United States,Retail,Fashion & Retail,6.0
437,Cai Kui,$5.9 B,down arrow,60.0,China,Real estate,Real Estate,5.9
437,Jaran Chiaravanont,$5.9 B,up arrow,93.0,Thailand,Diversified,Diversified,5.9
437,Andreas Halvorsen,$5.9 B,down arrow,61.0,Norway,Hedge funds,Finance & Investments,5.9
437,Antony Ressler,$5.9 B,up arrow,62.0,United States,Finance,Finance & Investments,5.9
437,Tsai Eng-meng,$5.9 B,down arrow,66.0,Taiwan,"Food, beverages",Food & Beverage,5.9
442,Josh Harris,$5.8 B,unchanged,58.0,United States,Private equity,Finance & Investments,5.8
442,Niels Peter Louis-Hansen,$5.8 B,down arrow,75.0,Denmark,Medical devices,Healthcare,5.8
442,Patrick Soon-Shiong,$5.8 B,down arrow,70.0,United States,Pharmaceuticals,Healthcare,5.8
445,Rinat Akhmetov,$5.7 B,up arrow,56.0,Ukraine,"Steel, coal",Metals & Mining,5.7
445,John Brown,$5.7 B,up arrow,88.0,United States,Medical equipment,Healthcare,5.7
445,Clive Calder,$5.7 B,unchanged,76.0,United Kingdom,Record label,Media & Entertainment,5.7
445,Arthur Irving,$5.7 B,up arrow,93.0,Canada,Oil,Energy,5.7
445,Fredrik Lundberg,$5.7 B,down arrow,71.0,Sweden,"Real estate, investments",Real Estate,5.7
445,Thomas Schmidheiny,$5.7 B,up arrow,77.0,Switzerland,Cement,Construction & Engineering,5.7
445,Helmut Sohmen,$5.7 B,up arrow,83.0,Austria,Shipping,Logistics,5.7
445,Daniel Ziff,$5.7 B,up arrow,51.0,United States,Investments,Finance & Investments,5.7
445,Dirk Ziff,$5.7 B,up arrow,59.0,United States,Investments,Finance & Investments,5.7
445,Robert Ziff,$5.7 B,up arrow,56.0,United States,Investments,Finance & Investments,5.7
455,Maria Angelicoussis,$5.6 B,new to list,41.0,Greece,Shipping,Logistics,5.6
455,Ray Lee Hunt,$5.6 B,down arrow,79.0,United States,"Oil, real estate",Energy,5.6
455,Lai Meisong,$5.6 B,up arrow,52.0,China,Package delivery,Logistics,5.6
455,Vikram Lal & family,$5.6 B,up arrow,81.0,India,Motorcycles,Automotive,5.6
455,Ken Langone,$5.6 B,down arrow,87.0,United States,Investments,Finance & Investments,5.6
455,Li Ge,$5.6 B,,56.0,United States,Pharmaceutical ingredients,Healthcare,5.6
455,Karen Pritzker,$5.6 B,down arrow,65.0,United States,"Hotels, investments",Finance & Investments,5.6
455,Robert Rowling,$5.6 B,up arrow,69.0,United States,"Hotels, investments",Service,5.6
455,Teddy Sagi,$5.6 B,unchanged,51.0,Israel,Gambling software,Gambling & Casinos,5.6
455,Seo Jung-jin,$5.6 B,down arrow,65.0,South Korea,Biotech,Healthcare,5.6
455,Wu Jianshu,$5.6 B,down arrow,59.0,Hong Kong,Auto parts,Automotive,5.6
466,Micky Arison,$5.5 B,down arrow,73.0,United States,Carnival Cruises,Service,5.5
466,James Chambers,$5.5 B,up arrow,65.0,United States,"Media, automotive",Media & Entertainment,5.5
466,Pierre Chen,$5.5 B,up arrow,66.0,Taiwan,Electronics,Technology,5.5
466,John Collison,$5.5 B,down arrow,32.0,Ireland,Payments software,Technology,5.5
466,Patrick Collison,$5.5 B,down arrow,34.0,Ireland,Payment software,Technology,5.5
466,Archie Aldis Emmerson & family,$5.5 B,up arrow,93.0,United States,"Timberland, lumber mills",Manufacturing,5.5
466,Piero Ferrari,$5.5 B,up arrow,77.0,Italy,Automobiles,Automotive,5.5
466,Dan Friedkin,$5.5 B,up arrow,58.0,United States,Toyota dealerships,Automotive,5.5
466,James Irving,$5.5 B,up arrow,95.0,Canada,Diversified,Diversified,5.5
466,Jiang Weiping & family,$5.5 B,down arrow,68.0,China,Chemicals,Manufacturing,5.5
466,Wolfgang Marguerre & family,$5.5 B,up arrow,81.0,Germany,Pharmaceuticals,Healthcare,5.5
466,Ludwig Merckle,$5.5 B,down arrow,58.0,Germany,Pharmaceuticals,Finance & Investments,5.5
466,Mitchell Rales,$5.5 B,down arrow,66.0,United States,"Manufacturing, investments",Manufacturing,5.5
466,Katharine Rayner,$5.5 B,up arrow,78.0,United States,"Media, automotive",Media & Entertainment,5.5
466,Jean Salata,$5.5 B,up arrow,57.0,Chile,Finance,Finance & Investments,5.5
466,Paul Singer,$5.5 B,up arrow,78.0,United States,Hedge funds,Finance & Investments,5.5
466,Sergio Stevanato & family,$5.5 B,up arrow,80.0,Italy,Medical packaging,Healthcare,5.5
466,Margaretta Taylor,$5.5 B,up arrow,80.0,United States,"Media, automotive",Media & Entertainment,5.5
466,Richard White,$5.5 B,up arrow,68.0,Australia,Software,Technology,5.5
466,Zhao Yan,$5.5 B,down arrow,56.0,China,Biotech,Diversified,5.5
486,Patrizio Bertelli,$5.4 B,up arrow,77.0,Italy,Luxury goods,Fashion & Retail,5.4
486,Mahendra Choksi & family,$5.4 B,down arrow,81.0,India,Paints,Manufacturing,5.4
486,Mat Ishbia,$5.4 B,up arrow,43.0,United States,Mortgage lender,Finance & Investments,5.4
486,Leo Koguan,$5.4 B,down arrow,68.0,United States,IT provider,Technology,5.4
486,Miao Hangen,$5.4 B,down arrow,58.0,China,"Textiles, petrochemicals",Diversified,5.4
486,Michael Pieper,$5.4 B,up arrow,77.0,Switzerland,Kitchen appliances,Manufacturing,5.4
486,Miuccia Prada,$5.4 B,up arrow,73.0,Italy,Luxury goods,Fashion & Retail,5.4
486,Wolfgang Reimann,$5.4 B,down arrow,70.0,Germany,Consumer goods,Fashion & Retail,5.4
486,Matthias Reimann-Andersen,$5.4 B,down arrow,58.0,Germany,Consumer goods,Fashion & Retail,5.4
486,Stefan Reimann-Andersen,$5.4 B,down arrow,59.0,Germany,Consumer goods,Fashion & Retail,5.4
486,Renate Reimann-Haas,$5.4 B,down arrow,71.0,Germany,Consumer goods,Fashion & Retail,5.4
497,Todd Boehly,$5.3 B,up arrow,49.0,United States,Finance,Finance & Investments,5.3
497,Rick Caruso,$5.3 B,up arrow,64.0,United States,Real estate,Real Estate,5.3
497,Ibrahim Erdemoglu,$5.3 B,up arrow,60.0,Turkey,Carpet,Manufacturing,5.3
497,Elizabeth Johnson,$5.3 B,up arrow,59.0,United States,Fidelity,Finance & Investments,5.3
497,Douglas Leone,$5.3 B,down arrow,65.0,United States,Venture capital,Finance & Investments,5.3
497,Prajogo Pangestu,$5.3 B,down arrow,78.0,Indonesia,"Petrochemicals, energy",Diversified,5.3
497,Thomas Pritzker,$5.3 B,up arrow,72.0,United States,"Hotels, investments",Finance & Investments,5.3
497,Lynda Resnick,$5.3 B,,80.0,United States,Agriculture,Food & Beverage,5.3
497,Stewart Resnick,$5.3 B,,86.0,United States,Agriculture,Food & Beverage,5.3
497,Gary Rollins,$5.3 B,unchanged,78.0,United States,Pest control,Service,5.3
497,Mark Walter,$5.3 B,up arrow,62.0,United States,"Finance, asset management",Finance & Investments,5.3
497,Ronald Wanek,$5.3 B,down arrow,81.0,United States,Furniture,Manufacturing,5.3
497,Erich Wesjohann & family,$5.3 B,down arrow,77.0,Germany,Poultry genetics,Food & Beverage,5.3
497,M.A. Yusuff Ali,$5.3 B,down arrow,67.0,India,Retail,Fashion & Retail,5.3
511,Alexandre Behring,$5.2 B,up arrow,56.0,Brazil,Investments,Finance & Investments,5.2
511,Cheng Xue,$5.2 B,down arrow,53.0,China,Soy sauce,Food & Beverage,5.2
511,Robert Faith,$5.2 B,new to list,59.0,United States,Real estate management,Real Estate,5.2
511,Gao Dekang & family,$5.2 B,up arrow,71.0,China,Apparel,Fashion & Retail,5.2
511,Micky Jagtiani,$5.2 B,up arrow,71.0,India,Retail,Fashion & Retail,5.2
511,Ananda Krishnan,$5.2 B,down arrow,85.0,Malaysia,"Telecoms, media, oil-services",Telecom,5.2
511,Barry Lam,$5.2 B,down arrow,73.0,Taiwan,Electronics,Technology,5.2
511,"Robert Rich, Jr.",$5.2 B,up arrow,82.0,United States,Frozen foods,Food & Beverage,5.2
511,Mark Scheinberg,$5.2 B,down arrow,49.0,Canada,Online gambling,Gambling & Casinos,5.2
511,Charles Simonyi,$5.2 B,down arrow,74.0,United States,Microsoft,Technology,5.2
511,Ty Warner,$5.2 B,up arrow,78.0,United States,"Plush toys, real estate",Real Estate,5.2
511,Sam Zell,$5.2 B,down arrow,81.0,United States,"Real estate, private equity",Real Estate,5.2
523,Fang Wei,$5.1 B,up arrow,49.0,China,Steel,Manufacturing,5.1
523,Rekha Jhunjhunwala,$5.1 B,new to list,59.0,India,Investments,Finance & Investments,5.1
523,Charles B. Johnson,$5.1 B,unchanged,90.0,United States,Franklin Templeton,Finance & Investments,5.1
523,Kwon Hyuk-bin,$5.1 B,down arrow,49.0,South Korea,Online games,Media & Entertainment,5.1
523,Sami Mnaymneh,$5.1 B,up arrow,61.0,United States,Private equity,Finance & Investments,5.1
523,Kjell Inge Rokke,$5.1 B,down arrow,64.0,Norway,"Shipping, seafood",Logistics,5.1
523,Tony Tamer,$5.1 B,up arrow,65.0,United States,Private equity,Finance & Investments,5.1
523,Tse Ping & family,$5.1 B,down arrow,71.0,China,Pharmaceuticals,Healthcare,5.1
523,Romesh T. Wadhwani,$5.1 B,up arrow,75.0,United States,Software,Technology,5.1
523,Hansjoerg Wyss,$5.1 B,up arrow,88.0,Switzerland,Medical devices,Healthcare,5.1
523,Denise York & family,$5.1 B,up arrow,72.0,United States,San Francisco 49ers,Sports,5.1
534,Ron Baron,$5 B,up arrow,79.0,United States,Money management,Finance & Investments,5.0
534,Robert Bass,$5 B,down arrow,75.0,United States,"Oil, investments",Energy,5.0
534,Dona Bertarelli,$5 B,up arrow,55.0,Switzerland,Biotech and investments,Healthcare,5.0
534,Alexander Gerko,$5 B,new to list,43.0,United Kingdom,Trading,Finance & Investments,5.0
534,Martin Haefner,$5 B,up arrow,69.0,Switzerland,"Software, investments",Technology,5.0
534,"Robert Hale, Jr.",$5 B,up arrow,56.0,United States,Telecom,Telecom,5.0
534,Viktor Kharitonin,$5 B,up arrow,50.0,Russia,Pharmaceuticals,Healthcare,5.0
534,Kim Beom-su,$5 B,down arrow,57.0,South Korea,Online services,Technology,5.0
534,Jane Lauder,$5 B,down arrow,50.0,United States,Estée Lauder,Fashion & Retail,5.0
534,Michel Leclercq & family,$5 B,up arrow,83.0,France,Sporting goods,Fashion & Retail,5.0
534,George Lucas,$5 B,down arrow,78.0,United States,Star Wars,Media & Entertainment,5.0
534,Janice McNair,$5 B,up arrow,86.0,United States,"Energy, sports",Sports,5.0
534,Ugur Sahin,$5 B,down arrow,57.0,Germany,Biotechnology,Healthcare,5.0
534,Alexandra Schoerghuber & family,$5 B,up arrow,64.0,Germany,Real estate,Real Estate,5.0
534,Thomas Straumann,$5 B,down arrow,59.0,Switzerland,Dental implants,Healthcare,5.0
534,Murat Ulker,$5 B,up arrow,64.0,Turkey,Food,Food & Beverage,5.0
534,Chip Wilson,$5 B,down arrow,66.0,Canada,Lululemon,Fashion & Retail,5.0
534,Zhu Yan & family,$5 B,up arrow,52.0,China,Real estate,Real Estate,5.0
552,Jim Davis & family,$4.9 B,down arrow,79.0,United States,New Balance,Manufacturing,4.9
552,Murali Divi & family,$4.9 B,down arrow,72.0,India,Pharmaceuticals,Healthcare,4.9
552,Dagmar Dolby & family,$4.9 B,up arrow,81.0,United States,Dolby Laboratories,Technology,4.9
552,Marcos Galperin,$4.9 B,up arrow,,Argentina,E-commerce,Technology,4.9
552,Tom Golisano,$4.9 B,down arrow,81.0,United States,Payroll services,Service,4.9
552,Jonathan Gray,$4.9 B,down arrow,53.0,United States,Investments,Finance & Investments,4.9
552,Bidzina Ivanishvili,$4.9 B,up arrow,67.0,Georgia,Investments,Finance & Investments,4.9
552,Lim Hariyanto Wijaya Sarwono,$4.9 B,up arrow,94.0,Indonesia,"Palm oil, nickel mining",Metals & Mining,4.9
552,Rudolf Maag,$4.9 B,down arrow,77.0,Switzerland,Medical devices,Healthcare,4.9
552,Emanuele (Lino) Saputo & family,$4.9 B,up arrow,86.0,Canada,Cheese,Food & Beverage,4.9
552,Mark Shoen,$4.9 B,up arrow,72.0,United States,U-Haul,Automotive,4.9
552,Dan Snyder,$4.9 B,up arrow,58.0,United States,Washington Commanders,Sports,4.9
552,Chairul Tanjung,$4.9 B,down arrow,60.0,Indonesia,Diversified,Diversified,4.9
552,Kelcy Warren,$4.9 B,up arrow,67.0,United States,Pipelines,Energy,4.9
552,Zhang Tao,$4.9 B,down arrow,50.0,China,E-commerce,Fashion & Retail,4.9
567,Michael Ashley,$4.8 B,up arrow,58.0,United Kingdom,Sports retailing,Fashion & Retail,4.8
567,Tomasz Biernacki,$4.8 B,up arrow,50.0,Poland,Supermarkets,Fashion & Retail,4.8
567,Bernard Broermann,$4.8 B,up arrow,79.0,Germany,Hospitals,Healthcare,4.8
567,Jimmy Haslam,$4.8 B,up arrow,69.0,United States,"Gas stations, retail",Fashion & Retail,4.8
567,H. Fisk Johnson,$4.8 B,up arrow,64.0,United States,Cleaning products,Manufacturing,4.8
567,S. Curtis Johnson,$4.8 B,up arrow,67.0,United States,Cleaning products,Manufacturing,4.8
567,Helen Johnson-Leipold,$4.8 B,up arrow,66.0,United States,Cleaning products,Manufacturing,4.8
567,Vinod Khosla,$4.8 B,down arrow,68.0,United States,Venture capital,Technology,4.8
567,Thai Lee,$4.8 B,up arrow,64.0,United States,IT provider,Technology,4.8
567,Winifred J. Marquart,$4.8 B,up arrow,63.0,United States,Cleaning products,Manufacturing,4.8
567,Pankaj Patel,$4.8 B,up arrow,70.0,India,Pharmaceuticals,Healthcare,4.8
567,Horst Julius Pudwill,$4.8 B,down arrow,78.0,Germany,Manufacturing,Manufacturing,4.8
567,Yu Yong,$4.8 B,up arrow,62.0,China,Mining,Finance & Investments,4.8
580,Maria Fernanda Amorim & family,$4.7 B,unchanged,88.0,Portugal,"Energy, investments",Diversified,4.7
